,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
269,Трансстройинвест,developer,https://www.cian.ru/sale/flat/306658016/,Москва,sale,flat,11,23,2,44.1,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК
270,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/309629716/,Москва,sale,flat,13,24,4,130.5,84500000.0,Щукино, Берзарина,28Ак2,Октябрьское поле,Октябрьское поле
271,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/285032815/,Москва,sale,flat,4,12,-1,298.93,750000000.0,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой
272,MR Group,developer,https://www.cian.ru/sale/flat/309403678/,Москва,sale,flat,5,28,3,87.7,32514336.0,Даниловский,,,Павелецкая,Павелецкая Сити ЖК
273,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/297592669/,Москва,sale,flat,13,14,-1,454.0,295000000.0,Раменки,Ломоносовский проспект,25к5,Университет,Dominion
274,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303137027/,Москва,sale,flat,2,5,2,106.0,155000000.0,Тверской,Никольская ,10,Площадь Революции,St. Nickolas
275,MR Group,developer,https://www.cian.ru/sale/flat/308088559/,Москва,sale,flat,3,7,1,78.45,196125000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,LUCE
276,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303016439/,Москва,sale,flat,4,5,3,150.8,195000000.0,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11
277,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303089440/,Москва,sale,flat,7,7,-1,264.0,422271599.0,Пресненский,Малая Никитская ,16/5,Баррикадная,
278,MR Group,developer,https://www.cian.ru/sale/flat/309432133/,Москва,sale,flat,6,13,1,85.04,131684440.0,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
279,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302074228/,Москва,sale,flat,14,20,2,144.0,150000000.0,Пресненский, Сергея Макеева,9к1,Улица 1905 года,RedSide
280,Ташир,developer,https://www.cian.ru/sale/flat/302722354/,Москва,sale,flat,2,16,2,46.8,23868000.0,Даниловский,Малая Тульская ,2,Тульская,DECO RESIDENCE (Апартаменты премиум-класса)
281,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306837240/,Москва,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT
282,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306687240/,Москва,sale,flat,4,8,1,48.9,38190900.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Монблан
283,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/292233986/,Москва,sale,flat,4,30,1,41.9,10516900.0,Чертаново Южное,,1.1,Аннино,Варшавские Ворота ЖК
284,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309080101/,Москва,sale,flat,25,30,3,134.0,68000000.0,Проспект Вернадского,проспект Вернадского,37к1А,Проспект Вернадского,
285,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307587836/,Москва,sale,flat,6,8,5,235.4,165000000.0,Арбат,Большой Афанасьевский переулок,32/9,Арбатская,
286,Группа Родина,developer,https://www.cian.ru/sale/flat/305467844/,Москва,sale,flat,2,23,1,25.4,15785440.0,Ростокино,,к5,Ботанический сад,Союз ЖК
287,Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/304374286/,Москва,sale,flat,13,25,4,139.7,59900000.0,Раменки, Янковского,1к2,Аминьевская,Событие
288,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308105474/,Москва,sale,flat,2,4,4,212.1,490000000.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко
289,Владислав Карпов,realtor,https://www.cian.ru/sale/flat/308833064/,Москва,sale,flat,15,28,2,64.5,49000000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее
290,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/303177396/,Москва,sale,flat,13,17,3,75.4,23500000.0,Крылатское,Осенняя ,30,Крылатское,
291,SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/306155025/,Москва,sale,flat,35,40,3,100.0,94350000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
292,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304787071/,Москва,sale,flat,5,7,4,136.9,220000000.0,Якиманка,2-й Спасоналивковский переулок,6,Октябрьская,Полянка/44
293,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/309250220/,Москва,sale,flat,2,6,4,214.3,321450000.0,Таганский,Серебряническая набережная,19,Чкаловская,АртХаус
294,АЙГРИН,developer,https://www.cian.ru/sale/flat/304295911/,Москва,sale,flat,6,14,2,52.73,11862950.0,Силино,проспект Генерала Алексеева,17с1,Зеленоград — Крюково,Апарт-отель Сигма Силино
295,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297359672/,Москва,sale,flat,7,21,4,137.0,150000000.0,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,
296,OPN PARTNER,real_estate_agent,https://www.cian.ru/sale/flat/302438184/,Москва,sale,flat,4,9,3,60.0,16300000.0,Теплый Стан, Генерала Тюленева,31,Тёплый Стан,
297,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309513207/,Москва,sale,flat,35,41,3,98.0,95000000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк
298,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298346442/,Москва,sale,flat,4,23,2,59.61,16300000.0,, Анны Ахматовой,11к1,Рассказовка,Городские истории (Рассказовка)
299,Антон Ермолаев,realtor,https://www.cian.ru/sale/flat/305332515/,Москва,sale,flat,31,67,2,51.5,47500000.0,Пресненский,Краснопресненская набережная,14Ак2,Москва-Сити,Capital Towers
300,Константин Степанов,realtor,https://www.cian.ru/sale/flat/308099479/,Москва,sale,flat,20,26,2,45.8,20000000.0,Нагатино-Садовники,Нагатинская набережная,10А,Нагатинская,Level Нагатинская
301,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
302,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/293100672/,Москва,sale,flat,2,5,3,207.4,440250750.0,Тверской,Никольская ,10/2С2б,Лубянка,St. Nickolas
303,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306226871/,Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky
304,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303070435/,Москва,sale,flat,7,14,4,91.43,67000000.0,Раменки,проспект Генерала Дорохова,39к2М,Минская,Собрание клубных домов West Garden
305,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/309004390/,Москва,sale,flat,2,24,1,43.9,20865363.0,Савеловский,Старый Петровско-Разумовский проезд,1/23С5,Гражданская,Петровский парк II
306,Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/303817767/,Москва,sale,flat,3,13,4,93.0,79950000.0,Раменки,Ломоносовский проспект,36,Ломоносовский проспект,Счастье на Ломоносовском
307,Century 21 Level,real_estate_agent,https://www.cian.ru/sale/flat/306203300/,Москва,sale,flat,6,23,4,146.5,55299000.0,Кунцево, Екатерины Будановой,5,Рабочий посёлок,Катрин-Хаус
308,Ташир,developer,https://www.cian.ru/sale/flat/308803040/,Москва,sale,flat,25,32,3,83.7,,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
309,НОБЛ РИЭЛТИ,real_estate_agent,https://www.cian.ru/sale/flat/302209426/,Москва,sale,flat,11,30,3,101.9,85000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
310,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309245265/,Москва,sale,flat,14,18,4,169.6,80000000.0,Раменки, Улофа Пальме,1,Минская,
311,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307195917/,Москва,sale,flat,4,26,2,55.5,19288526.0,Соколиная гора,1-й Кирпичный переулок,17,Соколиная гора,Семеновский парк 2
312,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/307532779/,Москва,sale,flat,10,34,3,84.0,75000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
313,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300142375/,Москва,sale,flat,3,4,5,211.5,95000000.0,Крылатское,Островной проезд,7К1,Молодёжная,Остров Фантазий
314,Capital Group,representative_developer,https://www.cian.ru/sale/flat/304746713/,Москва,sale,flat,32,41,2,66.47,33035590.0,Пресненский,Шмитовский проезд,39к5,Шелепиха,Headliner
315,Smolenka Estate,real_estate_agent,https://www.cian.ru/sale/flat/306454598/,Москва,sale,flat,8,9,2,60.7,74100000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
316,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309513213/,Москва,sale,flat,24,36,3,82.4,75000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
317,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/308943255/,Москва,sale,flat,2,9,1,27.4,10921092.0,Головинский,Северный ао,,Коптево,Михалковский ЖК
318,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308345829/,Москва,sale,flat,1,7,5,398.1,170000000.0,Крылатское,Крылатская ,45К3,Крылатское,Долина грез
319,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308008345/,Москва,sale,flat,4,21,3,99.0,140000000.0,Якиманка,Донская ,14,Шаболовская,Медный 3.14
320,Донстрой,developer,https://www.cian.ru/sale/flat/309018369/,Москва,sale,flat,6,50,1,49.3,25621210.0,Раменки,м. Мичуринский проспект,,Мичуринский проспект,Событие
321,Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/308799810/,Москва,sale,flat,4,7,4,173.6,451500000.0,Хамовники, Ефремова,19к2,Спортивная,Knightsbridge Private Park
322,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309161796/,Москва,sale,flat,17,19,3,74.2,45490000.0,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха,Сердце Столицы
323,КОРТРОС,developer,https://www.cian.ru/sale/flat/296640175/,Москва,sale,flat,5,49,3,79.14,31320446.0,Марьина роща,,,Марьина Роща,Тэйт ЖК
324,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/304797466/,Москва,sale,flat,6,10,5,178.7,184900000.0,Раменки,Минская ,2Вк3,Минская,Снегири Эко
325,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/306946962/,Москва,sale,flat,2,21,5,242.0,240000000.0,Пресненский, Сергея Макеева,9,Улица 1905 года,RedSide
326,Sense Development,developer,https://www.cian.ru/sale/flat/298147602/,Москва,sale,flat,7,13,1,58.8,37642247.0,Даниловский, Даниловский Вал,1А,Тульская,Logos
327,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/306350609/,Москва,sale,flat,2,8,-1,235.8,595000000.0,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
328,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299927735/,Москва,sale,flat,2,6,3,80.0,82000000.0,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
329,Донстрой,developer,https://www.cian.ru/sale/flat/309447701/,Москва,sale,flat,2,25,1,39.1,,Лефортово,,,Римская,Символ ЖК
330,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305693518/,Москва,sale,flat,15,21,4,226.0,139900000.0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
331,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309616186/,Москва,sale,flat,14,21,2,144.0,150000000.0,Пресненский, Сергея Макеева,9,Улица 1905 года,RedSide
332,Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/307251049/,Москва,sale,flat,2,11,2,47.0,25803000.0,,,В14 кв-л,Серебряный Бор,Сберсити ЖК
333,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309522583/,Москва,sale,flat,11,11,5,179.2,104000000.0,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
334,Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/308388931/,Москва,sale,flat,8,12,3,65.0,16500000.0,Гольяново,Чусовская ,15,Щёлковская,
335,РГ-Девелопмент,developer,https://www.cian.ru/sale/flat/307196014/,Москва,sale,flat,15,27,1,38.2,17201689.0,Щукино,,,Щукинская,Октябрьское Поле ЖК
336,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308961008/,Москва,sale,flat,2,16,3,100.0,180000000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
337,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307484067/,Москва,sale,flat,11,12,2,39.4,9750000.0,Выхино-Жулебино,Ташкентский переулок,9К3,Юго-Восточная,
338,Центр-Инвест,developer,https://www.cian.ru/sale/flat/303491144/,Москва,sale,flat,17,22,2,42.6,32304178.0,Красносельский,Большая Спасская ,35,Площадь трёх вокзалов,Dialog
339,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303782861/,Москва,sale,flat,15,22,4,226.3,139900000.0,Пресненский,Большой Тишинский переулок,10С1,Баррикадная,"Большой Тишинский переулок, 10с1"
340,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/279147618/,Москва,sale,flat,4,4,5,225.7,480000000.0,Раменки,Минская ,2Вк5,Минская,Снегири Эко
341,Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/308971079/,Москва,sale,flat,10,23,3,83.1,39721800.0,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
342,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305631331/,Москва,sale,flat,19,20,4,106.2,85000000.0,Хорошево-Мневники, Паршина,10,Серебряный Бор,Серебряный парк
343,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300379704/,Москва,sale,flat,2,5,5,141.2,116000000.0,Мещанский,Последний переулок,5С1,Сухаревская,
344,Пионер,developer,https://www.cian.ru/sale/flat/308640109/,Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,,,Павелецкая,Опус ЖК
345,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302282746/,Москва,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
346,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/309292350/,Москва,sale,flat,10,26,3,75.0,72000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
347,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/309202253/,Москва,sale,flat,4,5,4,250.25,168440000.0,Красносельский, Сретенка,26/1,Сухаревская,
348,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307213330/,Москва,sale,flat,10,26,3,74.5,72000000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
349,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/302778267/,Москва,sale,flat,2,11,3,135.0,110000000.0,Басманный,Казарменный переулок,3,Курская,Дом на Покровском бульваре
350,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308709742/,Москва,sale,flat,24,25,4,300.0,169990000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
351,ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081117/,Москва,sale,flat,11,14,-1,298.0,183243700.0,Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden
352,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303279172/,Москва,sale,flat,2,6,5,200.0,208000000.0,Замоскворечье,Большой Ордынский переулок,4С3,Третьяковская,Собрание клубных домов ORDYNKA
353,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/275372721/,Москва,sale,flat,7,8,-1,340.0,490000000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
354,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299771808/,Москва,sale,flat,24,56,3,71.0,33500000.0,Раменки,проспект Генерала Дорохова,вл1к3,Аминьевская,Will Towers
355,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308943451/,Москва,sale,flat,5,18,3,77.0,44500000.0,Даниловский,проспект Лихачева,10к1,Технопарк,Квартал на набережной NOW
356,ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081123/,Москва,sale,flat,12,14,3,75.0,44988700.0,Раменки,проспект Генерала Дорохова,39к2Г,Минская,Собрание клубных домов West Garden
357,Apple Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307743543/,Москва,sale,flat,2,6,3,70.0,67500000.0,Пресненский,Богословский переулок,7,Пушкинская,
358,Юлия Сергеевна Денисова,realtor,https://www.cian.ru/sale/flat/305590004/,Москва,sale,flat,5,6,2,77.0,79000000.0,Хамовники,Зубовская ,7,Парк Культуры,Roza Rossa
359,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307715589/,Москва,sale,flat,21,22,4,143.2,80000000.0,Хорошево-Мневники, Нижние Мневники,16к5,Терехово ,Остров
360,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309038398/,Москва,sale,flat,4,18,3,82.3,85000000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК
361,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/296195763/,Москва,sale,flat,13,44,4,117.0,90000000.0,Раменки,Минская ,2,Минская,Долина Сетунь
362,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305021381/,Москва,sale,flat,5,21,3,83.0,91300000.0,Якиманка,Донская ,14,Шаболовская,Медный 3.14
363,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/304247053/,Москва,sale,flat,6,17,3,112.6,93000000.0,Замоскворечье,Мытная ,7с1,Серпуховская,Английский квартал
364,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/306606812/,Москва,sale,flat,12,22,4,160.0,94000000.0,Пресненский,Шмитовский проезд,16С2,Москва-Сити,Шмитовский 16
365,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/285996127/,Москва,sale,flat,3,10,3,110.4,97500000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
366,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/306662757/,Москва,sale,flat,5,13,5,136.62,105000000.0,Раменки,Минская ,1ГК6,Минская,Собрание клубных домов West Garden
367,Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/300046083/,Москва,sale,flat,51,78,3,109.2,109000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
368,PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/299474737/,Москва,sale,flat,2,9,3,125.8,129900000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
369,Verges of estate,real_estate_agent,https://www.cian.ru/sale/flat/308105217/,Москва,sale,flat,6,10,4,135.0,145000000.0,Дорогомилово, Братьев Фонченко,,Поклонная,Victory Park Residences
370,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/306081544/,Москва,sale,flat,10,12,5,300.0,250000000.0,Замоскворечье,Климентовский переулок,2,Новокузнецкая,
371,Private Broker,real_estate_agent,https://www.cian.ru/sale/flat/308893823/,Москва,sale,flat,15,15,-1,400.0,505000000.0,Хамовники,Саввинская набережная,9,Киевская,
372,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/293666231/,Москва,sale,flat,20,43,3,84.2,39000000.0,Хорошево-Мневники,Шелепихинская набережная,34к7,Шелепиха,Сердце Столицы
373,Стадион Спартак,developer,https://www.cian.ru/sale/flat/277489607/,Москва,sale,flat,3,22,2,80.7,51341340.0,Покровское-Стрешнево,Россини кв-л,,Спартак,Клубный Город на Реке Примавера ЖК
374,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304291401/,Москва,sale,flat,2,6,3,75.0,67500000.0,Пресненский,Богословский переулок,7,Пушкинская,
375,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/296835523/,Москва,sale,flat,3,13,4,110.4,97500000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
376,ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081126/,Москва,sale,flat,13,14,-1,202.0,139988700.0,Раменки,проспект Генерала Дорохова,39к2Е,Минская,Собрание клубных домов West Garden
377,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/308564476/,Москва,sale,flat,4,7,3,140.0,215233700.0,Арбат,1-й Смоленский переулок,21,Смоленская,Smolensky De Luxe
378,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308599011/,Москва,sale,flat,2,6,4,166.2,350000000.0,Хамовники,Пожарский переулок,3,Кропоткинская,Villa Grace
379,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307701788/,Москва,sale,flat,6,8,4,233.2,430000000.0,Хамовники,переулок Хилков,1,Парк Культуры,Парк Палас
380,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308255252/,Москва,sale,flat,4,6,3,144.0,500000000.0,Хамовники,Всеволожский переулок,5,Кропоткинская,Резиденция на Всеволожском
381,Дмитрий Асташов,realtor,https://www.cian.ru/sale/flat/307964340/,Москва,sale,flat,6,9,3,58.7,21000000.0,Академический,Большая Черемушкинская ,2К1,Крымская,
382,ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081119/,Москва,sale,flat,11,14,3,73.0,43788700.0,Раменки,проспект Генерала Дорохова,39к2Е,Минская,Собрание клубных домов West Garden
383,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308136515/,Москва,sale,flat,6,12,3,120.9,72200000.0,Мещанский,Протопоповский переулок,17С2,Проспект Мира,
384,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/309232689/,Москва,sale,flat,9,12,3,101.2,78000000.0,Раменки,проспект Генерала Дорохова,39к1Д,Минская,Собрание клубных домов West Garden
385,Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/308412920/,Москва,sale,flat,17,21,4,182.3,191490000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
386,FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/307252068/,Москва,sale,flat,6,16,3,158.0,205000000.0,Якиманка, Большая Якиманка,22К3,Полянка,Коперник
387,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/299105242/,Москва,sale,flat,3,15,4,154.2,205952459.0,Мещанский,Протопоповский переулок,10,Проспект Мира,Хортус Гармония
388,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307945191/,Москва,sale,flat,18,20,4,199.4,239280000.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
389,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/304695241/,Москва,sale,flat,5,7,5,247.7,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,
390,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308155635/,Москва,sale,flat,4,5,-1,379.0,395000000.0,Басманный,Мясницкая ,22С1,Лубянка,
391,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307708788/,Москва,sale,flat,6,8,4,233.2,430000000.0,Хамовники,переулок Хилков,1,Парк Культуры,Парк Палас
392,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/303873045/,Москва,sale,flat,7,8,-1,340.0,490000000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
393,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307708792/,Москва,sale,flat,3,3,-1,784.3,1000000000.0,Раменки,Минская ,1Гк7,Ломоносовский проспект,
394,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301496697/,Москва,sale,flat,3,5,3,82.9,42900000.0,Тверской,1-й Самотечный переулок,17А,Достоевская,
395,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/308804860/,Москва,sale,flat,65,65,-1,39.9,45000000.0,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
396,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/307260656/,Москва,sale,flat,9,11,3,95.5,52000000.0,Раменки,Винницкая ,8к3,Раменки,Настоящее
397,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308695817/,Москва,sale,flat,23,24,4,123.0,95000000.0,Фили-Давыдково,Кастанаевская ,66,Кунцевская,Shome
398,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/295104122/,Москва,sale,flat,22,53,3,130.0,100000000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
399,ЗАПАДНЫЙ САД,real_estate_agent,https://www.cian.ru/sale/flat/309081115/,Москва,sale,flat,8,14,-1,223.0,140493700.0,Раменки,проспект Генерала Дорохова,39к2Е,Минская,Собрание клубных домов West Garden
400,Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308826485/,Москва,sale,flat,17,21,4,185.0,191490000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
401,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300472324/,Москва,sale,flat,6,7,5,271.7,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
402,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/304442092/,Москва,sale,flat,5,5,-1,261.0,370000000.0,Замоскворечье,Озерковская набережная,6,Новокузнецкая,Bogenhouse
403,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308302334/,Москва,sale,flat,4,4,-1,379.2,395000000.0,Басманный,Мясницкая ,22С1,Лубянка,
404,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/302431621/,Москва,sale,flat,5,15,5,290.0,450000000.0,Хамовники,Олсуфьевский переулок,9к2,Фрунзенская,White Khamovniki
405,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303811054/,Москва,sale,flat,7,8,5,340.0,490000000.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,"Большой Афанасьевский пер, вл.24"
406,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/309237146/,Москва,sale,flat,2,4,-1,14.5,3730000.0,Северное Измайлово,Сиреневый бульвар,15,Щёлковская,
407,Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307655528/,Москва,sale,flat,3,14,1,43.5,12000000.0,Марьино, Перерва,26К2,Марьино,
408,ИП Боброва Е. И.,real_estate_agent,https://www.cian.ru/sale/flat/300787656/,Москва,sale,flat,18,24,2,60.0,18800000.0,Митино,Муравская ,44к2,Пятницкое шоссе,Митинский лес
